Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Src Port
443,6,,63,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47619.04761904762,31.5,4.949747468305833,35.0,28.0,35.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0,40,20,31746.031746031746,15873.015873015873,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2,0,1,0,-1,513,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50595
443,6,,107735,10,10,497.0,7755.0,193.0,0.0,49.7,77.85891799345218,1452.0,0.0,775.5,660.3169693412399,76595.34970065439,185.6406924397828,5670.263157894737,10562.919671305664,37757.0,0.0,88221.0,9802.333333333334,15015.003205127863,37879.0,19.0,107242.0,11915.777777777776,13417.469915913523,38152.0,0.0,0,224,224,92.8203462198914,92.8203462198914,0.0,1452.0,392.9523809523809,582.0130991816659,338739.24761904764,0,1,0,0,0,0,0,1.0,412.6,49.7,775.5,10,497,10,7755,-1,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50604
443,6,,77892,8,9,464.0,5768.0,193.0,0.0,57.99999999999999,77.04914943444494,1452.0,0.0,640.8888888888889,639.6726593431293,80008.21650490422,218.2509115185128,4868.249999999998,8375.960120089716,28239.0,1.0,64927.0,9275.285714285716,11613.350459913016,28401.0,33.0,77243.0,9655.375,10460.290462199004,28782.0,1.0,0,160,204,102.70631130282956,115.54460021568325,0.0,1452.0,346.22222222222223,535.8285014876831,287112.183006536,0,1,0,0,0,0,0,1.0,366.5882352941176,58.0,640.8888888888889,8,464,9,5768,-1,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50608
443,6,,88758,15,19,496.0,18433.0,193.0,0.0,33.06666666666666,66.81474031835732,1452.0,0.0,970.157894736842,623.5098023962498,213265.28312940805,383.0640618310462,2689.636363636365,6963.191311362655,31175.0,0.0,71056.0,5075.4285714285725,9938.206050113144,31304.0,21.0,88337.0,4907.611111111111,9146.099420221452,31570.0,0.0,0,336,404,168.9988508078145,214.0652110232317,0.0,1452.0,540.8285714285715,658.0326509740222,433006.9697478993,0,1,0,0,0,0,0,1.0,556.7352941176471,33.06666666666667,970.157894736842,15,496,19,18433,-1,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50611
443,6,,94175,9,10,496.0,7761.0,193.0,0.0,55.11111111111112,80.28456334259477,1452.0,0.0,776.1,663.3401088431183,87677.19670825591,201.7520573400584,5231.944444444444,9174.591918940316,29619.0,0.0,81080.0,10134.999999999998,13793.925857834258,30900.0,21.0,93714.0,10412.666666666666,11627.029919545232,29985.0,0.0,0,192,224,95.56676400318555,106.18529333687285,0.0,1452.0,412.85,591.7632238977806,350183.7131578948,0,1,0,0,0,0,0,1.0,434.578947368421,55.11111111111112,776.1,9,496,10,7761,-1,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50615
443,6,,565371,10,10,874.0,6761.0,406.0,0.0,87.4,134.59007723041432,1452.0,0.0,676.1,693.8598081264927,13504.4068408178,35.37500154765632,29756.36842105263,48279.25401155531,111907.0,0.0,457077.0,50786.333333333336,55292.06403951656,112194.0,24.0,546626.0,60736.22222222222,57638.30016312456,112263.0,0.0,0,224,224,17.68750077382816,17.68750077382816,0.0,1452.0,363.57142857142856,564.2532739318905,318381.75714285707,0,1,0,0,0,0,0,1.0,381.75,87.4,676.1,10,874,10,6761,-1,16382,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50600
443,6,,98275,9,9,464.0,5768.0,193.0,0.0,51.55555555555556,74.62089370798085,1452.0,0.0,640.8888888888889,639.6726593431293,63413.88959552276,183.15950139913508,5780.8823529411775,9677.004565478624,31223.0,0.0,79551.0,9943.875,13797.089594108504,31367.0,20.0,97739.0,12217.375,11684.774561521135,31635.0,0.0,0,192,204,91.57975069956754,91.57975069956754,0.0,1452.0,328.0,526.7546340037688,277470.4444444445,0,1,0,0,0,0,0,1.0,346.22222222222223,51.55555555555556,640.8888888888889,9,464,9,5768,-1,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50618
50600,6,,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1,0,1,0,-1,16382,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,443
443,6,,84952,18,22,501.0,23666.0,193.0,0.0,27.83333333333333,62.67117735122131,1452.0,0.0,1075.7272727272723,593.9999344090216,284478.2936246351,470.8541293907148,2178.2564102564097,6148.68139359099,29108.0,0.0,69394.0,4082.0,9271.867692110363,29284.0,15.0,84205.0,4009.7619047619046,8190.948717363342,29481.0,0.0,0,428,464,211.88435822582164,258.96977116489313,0.0,1452.0,589.439024390244,683.8029339210417,467586.45243902446,0,1,0,0,0,0,0,1.0,604.175,27.83333333333333,1075.7272727272727,18,501,22,23666,-1,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50623
50498,6,,840,2,3,55.0,238.0,31.0,24.0,27.5,4.949747468305833,238.0,0.0,79.33333333333334,137.40936406713092,348809.5238095238,5952.380952380952,210.0,352.19596817680923,733.0,0.0,1.0,1.0,0.0,1.0,1.0,840.0,420.0,442.64884502277874,733.0,107.0,0,40,60,2380.9523809523807,3571.428571428571,0.0,238.0,88.5,116.47446071993636,13566.3,0,0,0,1,1,0,0,1.0,106.2,27.5,79.33333333333333,2,55,3,238,-1,509,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,443
